date,D_days,tau,n_strikes,alpha,rho,nu,vol_rmse
2023-02-10,126,0.3452054794520548,483,0.19183348506914563,-0.7162673410768932,1.4338413715594063,0.008071803874314151
2023-02-10,140,0.3835616438356164,322,0.1823865571585841,-0.6432416604701726,1.625912531771824,0.01401419447420905
2023-02-10,161,0.4410958904109589,207,0.18908652153242167,-0.7210204274784249,1.4818488531159792,0.014309240326552623
2023-02-10,171,0.4684931506849315,127,0.1884787838852105,-0.6805531322683701,1.4959708240691685,0.012005694624518497
2023-02-10,189,0.5178082191780822,128,0.17932264209047896,-0.7197716428038498,1.4836020694071754,0.021041758388976175
2023-02-10,217,0.5945205479452055,136,0.1959384649597706,-0.7650234737044583,1.1555176788881398,0.007842920246848347
2023-02-10,231,0.6328767123287671,102,0.18612662048858097,-0.6814943731573987,1.325578486973778,0.015686770290990887
2023-02-10,252,0.6904109589041096,110,0.18584825509427444,-0.740335057123094,1.343332034137613,0.024151328269035516
2023-02-10,280,0.7671232876712328,112,0.20850586589153364,-0.8141446707260696,0.8589075369606041,0.01770671187288056
2023-02-10,308,0.8438356164383561,155,0.20459602461597498,-0.788187788482651,0.8499860892868432,0.009658799286714693
2023-02-10,322,0.8821917808219178,97,0.20142455817638802,-0.7629005330920081,0.9635982019757376,0.013773799399275049
2023-02-10,343,0.9397260273972603,118,0.20034003146592397,-0.769017021370398,0.9663051351413264,0.008228227410809402
2023-02-10,371,1.0164383561643835,117,0.2053374512041938,-0.793516687303522,0.8657303370933156,0.005213620002185145
2023-02-10,399,1.093150684931507,118,0.20616123111783494,-0.7982029806412413,0.7600669087672126,0.0051342479078910494
2023-02-10,497,1.3616438356164384,102,0.21137508437097363,-0.8155150615998711,0.6290276621151616,0.005915467491033783
2023-02-10,679,1.8602739726027397,61,0.20392564036559532,-0.740844884331869,0.5957818618337399,0.011804592630174898
2023-02-10,1043,2.8575342465753426,60,0.19949666707187597,-0.7345133448087612,0.6039842937435494,0.03302241141047668
2023-02-10,1407,3.8547945205479452,62,0.19679967682870744,-0.7001103444404368,0.5446547080158316,0.03500160213668465
2023-02-10,1771,4.852054794520548,52,0.2017352504417477,-0.6992202420228477,0.45160977755977394,0.024989398497152253
2023-02-13,1,0.0027397260273972603,72,0.28080026143233133,-0.2153353715168189,16.281280886812404,0.07399782187603314
2023-02-13,2,0.005479452054794521,70,0.2526415039623194,-0.001122106575147591,7.933275943231847,0.037779099806752425
2023-02-13,3,0.00821917808219178,86,0.22531504417843115,-0.0761479404203603,7.524868532372108,0.040219104790561115
2023-02-13,4,0.010958904109589041,331,0.18015014321450254,-0.4047975300512156,10.751953991613908,0.06381739546358028
2023-02-13,8,0.021917808219178082,85,0.16825470591782504,-0.03554692673727322,4.169432748248867,0.022187937340294676
2023-02-13,9,0.024657534246575342,84,0.17873437971605582,-0.023488368373517265,2.729512890551379,0.016937272375014068
2023-02-13,10,0.0273972602739726,97,0.1754371951448929,-0.08696733712637049,3.464830020447637,0.019052476087623307
2023-02-13,11,0.030136986301369864,117,0.1744536992902863,-0.16298114517133028,3.0890223168227386,0.02020823604920951
2023-02-13,14,0.038356164383561646,98,0.16640430005554258,-0.1323685475913476,2.4960669646091134,0.01375206146160796
2023-02-13,15,0.0410958904109589,150,0.1581154727326969,-0.22730642209369536,2.7543434228870485,0.018264926994707695
2023-02-13,16,0.043835616438356165,91,0.16955236273070404,-0.2772056628151091,2.2140187184974818,0.00949713709895641
2023-02-13,17,0.04657534246575343,94,0.16795219663152686,-0.25077078413123033,2.655377108659253,0.01256961919982646
2023-02-13,18,0.049315068493150684,126,0.16935979616537292,-0.3254227784947146,2.105815315484225,0.013355600595292939
2023-02-13,21,0.057534246575342465,105,0.16348406538333365,-0.2520537898687284,1.999640035030107,0.011700340542716904
2023-02-13,22,0.06027397260273973,73,0.165100599845371,-0.3397016942211081,2.448485180932443,0.009654433227222597
2023-02-13,23,0.06301369863013699,77,0.172280576716173,-0.3566233510116601,1.774232052066874,0.008885254247823446
2023-02-13,24,0.06575342465753424,68,0.17037777499029053,-0.3678321934254791,2.1780727106181583,0.00880087689082183
